idx	kernel	kind	grid	group	barrier	enc	n_in	n_out
367	custom_kernel_laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2_bfloat16_t_uint32_t_uint8_t_uint32_t_bfloat16_t	threads	131072x1x1	64x1x1	0	1089	5	1
368	custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t	threads	147456x1x1	288x1x1	1	1089	10	1
369	rmsbfloat16	threads	512x1x1	512x1x1	1	1089	3	1
370	custom_kernel_laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	threads	327680x1x1	64x1x1	1	1089	6	1
371	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	threads	32768x1x1	1024x1x1	1	1089	11	1
372	custom_kernel_laguna_gate_sp_h64_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	threads	512x1x1	64x1x1	0	1089	5	1
373	custom_kernel_laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	threads	16384x1x1	64x1x1	1	1089	7	1
374	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	threads	16384x1x1	512x1x1	0	1090	9	4
375	custom_kernel_laguna_shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t	threads	16384x1x1	64x1x1	1	1090	4	1
376	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_active64_v2_bfloat16_t_float_uint32_t_float	threads	256x1x1	256x1x1	0	1090	4	2
377	custom_kernel_laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2_bfloat16_t_uint32_t_uint8_t_uint32_t_bfloat16_t	threads	131072x1x1	64x1x1	0	1090	5	1
378	custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t	threads	147456x1x1	288x1x1	1	1090	10	1
379	rmsbfloat16	threads	512x1x1	512x1x1	1	1090	3	1
380	custom_kernel_laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	threads	327680x1x1	64x1x1	1	1090	6	1
381	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	threads	32768x1x1	1024x1x1	1	1090	11	1
382	custom_kernel_laguna_gate_sp_h64_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	threads	512x1x1	64x1x1	0	1090	5	1
383	custom_kernel_laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	threads	16384x1x1	64x1x1	1	1090	7	1
384	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	threads	16384x1x1	512x1x1	0	1091	9	4
385	custom_kernel_laguna_shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t	threads	16384x1x1	64x1x1	1	1091	4	1
386	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_active64_v2_bfloat16_t_float_uint32_t_float	threads	256x1x1	256x1x1	0	1091	4	2
387	custom_kernel_laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2_bfloat16_t_uint32_t_uint8_t_uint32_t_bfloat16_t	threads	131072x1x1	64x1x1	0	1091	5	1
388	custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t	threads	147456x1x1	288x1x1	1	1091	10	1
389	rmsbfloat16	threads	512x1x1	512x1x1	1	1091	3	1
390	custom_kernel_laguna_decode_nvfp4_qkv_h64_r1_v1_lm1_pw1_se1_sd1_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	threads	327680x1x1	64x1x1	1	1091	6	1
391	custom_kernel_laguna_sliding_fused_attn_ring_v1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_uint32_tc_floatc_bfloat16_t	threads	32768x1x1	1024x1x1	1	1091	11	1
392	custom_kernel_laguna_gate_sp_h64_v1_bfloat16_t_uint32_t_bfloat16_t_bfloat16_t_bfloat16_t	threads	512x1x1	64x1x1	0	1091	5	1
393	custom_kernel_laguna_oproj_act_h64_v1_lm1_pw1_sc1_se1_bfloat16_t_bfloat16_t_uint32_t_uint8_t_uint8_t_uint8_t_bfloat16_t	threads	16384x1x1	64x1x1	1	1091	7	1
394	custom_kernel_laguna_residual_rms_router_bf16_2048_rpg8_keys_v1_pf1_bfloat16_t_bfloat16_t_bfloat16_t_bfloat16_t_float_bfloat16_t_bfloat16_t_bfloat16_t_uint32_t	threads	16384x1x1	512x1x1	0	1092	9	4
395	custom_kernel_laguna_shared_nvfp4_swiglu_qmv_rows1_halved_bf16_v1_bfloat16_t_uint32_t_uint8_t_bfloat16_t	threads	16384x1x1	64x1x1	1	1092	4	1
396	custom_kernel_laguna_prefill_router_tournament_ordinal_norm_active64_v2_bfloat16_t_float_uint32_t_float	threads	256x1x1	256x1x1	0	1092	4	2
397	custom_kernel_laguna_routed_nvfp4_swiglu_qmv_packed_top8keys_r1_bf16_v2_bfloat16_t_uint32_t_uint8_t_uint32_t_bfloat16_t	threads	131072x1x1	64x1x1	0	1092	5	1
398	custom_kernel_laguna_routed_shared_nvfp4_down_residual_bf16_sh_stage4_v6_bfloat16_t_uint32_t_uint8_t_uint32_t_float_bfloat16_t_uint32_t_uint8_t_bfloat16_t_bfloat16_t	threads	147456x1x1	288x1x1	1	1092	10	1
399	rmsbfloat16	threads	512x1x1	512x1x1	0	1093	3	1
400	custom_kernel_laguna_lmhead_int5_base_coarse_delta_bf16_v1_bfloat16_t_uint8_t_uint8_t_float_bfloat16_t	threads	3211264x1x1	512x1x1	1	1093	5	2
401	custom_kernel_laguna_lmhead_coarse_argmax_stage1_v5_float_float_uint32_t	threads	224x128x1	224x1x1	1	1093	3	2
402	custom_kernel_laguna_lmhead_exact_winner_bf16_midpoint_threshold_v1_float_uint32_t_bfloat16_t_bfloat16_t_float	threads	32x1x1	32x1x1	1	1093	5	1
403	custom_kernel_laguna_lmhead_exact_fused_int5_sparse_refine_v1_float_bfloat16_t_floatc_bfloat16_t_bfloat16_t_uint8_t_uint8_t_bfloat16_t	threads	802816x1x1	256x1x1	0	1094	8	1
404	gather_frontbfloat16_int32_int_2	threads	50176x1x1	1024x1x1	0	1095	3	1
405	argmax_bfloat16	threads	1024x1x1	1024x1x1	1	1095	2	1
406	gather_frontbfloat16_int32_int_2	threads	50176x1x1	1024x1x1	0	1096	3	1
407	vn_copybfloat16float32	threads	50176x1x1	1024x1x1	0	1097	2	1
