# host
device                       Apple M4 Pro
architecture                 applegpu_g16s
maxThreadgroupMemoryLength   32768
recommendedWorkingSetSize    40200896512
k_alu maxThreadsPerTG        1024
k_gemm maxThreadsPerTG       1024
counterSampling.stage        true
counterSampling.dispatch     false
counterSampling.blit         false
rounds=9 targetMs=20.0

# arms
pair,size,arm,wall_ms,busy_sum_ms,busy_union_ms,cbs,cbunion_overlap,cb_layout_ms
mem/mem,tg=20 iters=16,two_queue,128.302,256.238,128.121,2,0.499991,[0.004-128.121] [0.000-128.121]
gemm/gemm,small M=64 N=64 K=701296 tg=16,concurrent_1cb,22.046,21.879,21.879,1,0.000000,[0.000-21.879]
mem/mem,tg=20 iters=16,b_only,18.963,18.794,18.794,1,0.000000,[0.000-18.794]
mem/mem,tg=10 iters=9,b_only,18.610,18.449,18.449,1,0.000000,[0.000-18.449]
mem/mem,tg=20 iters=16,concurrent_1cb,20.070,19.899,19.899,1,0.000000,[0.000-19.899]
alu/alu,tg=20 iters=1520646,a_only,19.442,19.275,19.275,1,0.000000,[0.000-19.275]
mem/mem,tg=10 iters=9,a_only,18.543,18.381,18.381,1,0.000000,[0.000-18.381]
mem/mem,tg=2 iters=2,b_only,19.740,19.575,19.575,1,0.000000,[0.000-19.575]
alu/mem,tg=10 alu=1535660 mem=9,a_only,19.639,19.465,19.465,1,0.000000,[0.000-19.465]
alu/alu,tg=40 iters=793926,raw_1cb,40.106,39.942,39.942,1,0.000000,[0.000-39.942]
alu/alu,tg=20 iters=1520646,two_cb_serial,38.878,38.551,38.551,2,0.000000,[0.000-19.275] [19.436-38.712]
alu/alu,tg=5 iters=1398660,serialenc_1cb,35.750,35.593,35.593,1,0.000000,[0.000-35.593]
alu/alu,tg=1000 iters=50703,serialenc_1cb,39.815,39.634,39.634,1,0.000000,[0.000-39.634]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,concurrent_1cb,39.391,38.745,38.745,1,0.000000,[0.000-38.745]
alu/mem,tg=10 alu=1535660 mem=9,serialenc_1cb,38.183,38.013,38.013,1,0.000000,[0.000-38.013]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,b_only,19.748,19.599,19.599,1,0.000000,[0.000-19.599]
alu/alu,tg=10 iters=1564051,raw_1cb,39.797,39.654,39.654,1,0.000000,[0.000-39.654]
alu/alu,tg=2 iters=1088090,barrier_1cb,27.758,27.589,27.589,1,0.000000,[0.000-27.589]
alu/mem,tg=2 alu=1565153 mem=2,two_cb,21.060,40.629,20.885,2,0.485946,[0.000-20.885] [0.006-19.750]
mem/mem,tg=240 iters=18,barrier_1cb,38.682,38.500,38.500,1,0.000000,[0.000-38.500]
gemm/gemm,fill M=512 N=1024 K=30896 tg=2048,raw_1cb,39.438,39.261,39.261,1,0.000000,[0.000-39.261]
alu/alu,tg=2 iters=1088090,two_cb,13.933,27.586,13.799,2,0.499795,[0.000-13.793] [0.006-13.799]
alu/mem,tg=10 alu=1535660 mem=9,raw_1cb,38.223,38.016,38.016,1,0.000000,[0.000-38.016]
alu/alu,tg=2 iters=1088090,a_only,14.547,14.390,14.390,1,0.000000,[0.000-14.390]
alu/alu,tg=1000 iters=50703,concurrent_1cb,39.291,39.119,39.119,1,0.000000,[0.000-39.119]
alu/alu,tg=2 iters=1088090,raw_1cb,27.748,27.588,27.588,1,0.000000,[0.000-27.588]
alu/alu,tg=240 iters=201722,a_only,20.042,19.870,19.870,1,0.000000,[0.000-19.870]
mem/mem,tg=240 iters=18,serialenc_1cb,38.644,38.469,38.469,1,0.000000,[0.000-38.469]
mem/mem,tg=240 iters=18,two_cb,38.485,57.423,38.289,2,0.333221,[0.000-19.141] [0.006-38.289]
alu/mem,tg=240 alu=199140 mem=18,concurrent_1cb,35.873,35.724,35.724,1,0.000000,[0.000-35.724]
alu/alu,tg=240 iters=201722,concurrent_1cb,38.814,38.639,38.639,1,0.000000,[0.000-38.639]
mem/mem,tg=2 iters=2,two_cb_serial,39.621,39.304,39.304,2,0.000000,[0.000-19.726] [19.886-39.464]
alu/mem,tg=2 alu=1565153 mem=2,concurrent_1cb,19.996,19.839,19.839,1,0.000000,[0.000-19.839]
mem/mem,tg=2 iters=2,concurrent_1cb,19.610,19.456,19.456,1,0.000000,[0.000-19.456]
gemm/gemm,small M=64 N=64 K=701296 tg=16,a_only,23.673,22.583,22.583,1,0.000000,[0.000-22.583]
alu/mem,tg=2 alu=1565153 mem=2,a_only,20.000,19.839,19.839,1,0.000000,[0.000-19.839]
alu/alu,tg=240 iters=201722,raw_1cb,40.962,40.790,40.790,1,0.000000,[0.000-40.790]
alu/alu,tg=2 iters=1088090,b_only,13.946,13.793,13.793,1,0.000000,[0.000-13.793]
alu/alu,tg=20 iters=1520646,raw_1cb,39.302,39.117,39.117,1,0.000000,[0.000-39.117]
alu/alu,tg=240 iters=201722,serialenc_1cb,40.457,40.286,40.286,1,0.000000,[0.000-40.286]
alu/alu,tg=40 iters=793926,two_cb,31.814,52.208,31.641,2,0.393956,[0.000-20.574] [0.006-31.641]
mem/mem,tg=240 iters=18,b_only,19.300,19.138,19.138,1,0.000000,[0.000-19.138]
gemm/gemm,small M=64 N=64 K=701296 tg=16,two_cb_serial,43.853,43.536,43.536,2,0.000000,[0.000-21.785] [21.946-43.696]
alu/mem,tg=20 alu=1564873 mem=16,serialenc_1cb,39.615,39.441,39.441,1,0.000000,[0.000-39.441]
alu/alu,tg=20 iters=1520646,concurrent_1cb,39.034,38.865,38.865,1,0.000000,[0.000-38.865]
alu/alu,tg=5 iters=1398660,two_cb,17.899,35.459,17.735,2,0.499828,[0.000-17.729] [0.006-17.735]
alu/mem,tg=20 alu=1564873 mem=16,b_only,19.889,19.730,19.730,1,0.000000,[0.000-19.730]
alu/mem,tg=240 alu=199140 mem=18,two_cb_serial,39.340,39.028,39.028,2,0.000000,[0.000-19.935] [20.091-39.184]
mem/mem,tg=2 iters=2,barrier_1cb,39.419,39.254,39.254,1,0.000000,[0.000-39.254]
alu/alu,tg=1000 iters=50703,barrier_1cb,39.419,39.253,39.253,1,0.000000,[0.000-39.253]
alu/alu,tg=5 iters=1398660,raw_1cb,35.632,35.464,35.464,1,0.000000,[0.000-35.464]
alu/mem,tg=240 alu=199140 mem=18,two_cb,35.763,55.680,35.594,2,0.360737,[0.000-20.091] [0.005-35.594]
gemm/gemm,half M=128 N=160 K=569744 tg=80,barrier_1cb,40.572,38.752,38.752,1,0.000000,[0.000-38.752]
alu/alu,tg=1000 iters=50703,two_cb,38.978,62.632,38.802,2,0.380480,[0.000-23.835] [0.005-38.802]
mem/mem,tg=20 iters=16,raw_1cb,38.165,37.979,37.979,1,0.000000,[0.000-37.979]
alu/mem,tg=2 alu=1565153 mem=2,b_only,19.833,19.680,19.680,1,0.000000,[0.000-19.680]
alu/alu,tg=40 iters=793926,serialenc_1cb,39.103,38.935,38.935,1,0.000000,[0.000-38.935]
alu/alu,tg=20 iters=1520646,b_only,20.602,20.447,20.447,1,0.000000,[0.000-20.447]
alu/alu,tg=2 iters=1088090,serialenc_1cb,28.371,28.201,28.201,1,0.000000,[0.000-28.201]
alu/alu,tg=10 iters=1564051,two_cb,19.967,39.651,19.831,2,0.499854,[0.000-19.825] [0.006-19.831]

# summary: within-round ratios; overlap = 1 - wall(arm)/(wall_a+wall_b);
# overlap_eff = (iso_sum - wall)/(iso_sum - max(wall_a,wall_b))
pair,size,arm,wall_ms_med,iso_sum_ms_med,iso_max_ms_med,overlap_med,overlap_lo,overlap_hi,overlap_eff_med,cb_busy_sum_med,cb_busy_union_med,cb_overlap_med
alu/alu,tg=2 iters=1088090,a_only,13.979,27.939,13.982,0.4997,0.4894,0.5001,1.0000,13.793,13.793,0.000000
alu/alu,tg=2 iters=1088090,b_only,13.957,27.939,13.982,0.5003,0.4996,0.5106,1.0014,13.793,13.793,0.000000
alu/alu,tg=2 iters=1088090,concurrent_1cb,13.954,27.939,13.982,0.5006,0.4964,0.5018,1.0024,13.793,13.793,0.000000
alu/alu,tg=2 iters=1088090,barrier_1cb,27.769,27.939,13.982,0.0053,0.0035,0.0258,0.0106,27.588,27.588,0.000000
alu/alu,tg=2 iters=1088090,raw_1cb,27.753,27.939,13.982,0.0068,0.0044,0.0262,0.0136,27.589,27.589,0.000000
alu/alu,tg=2 iters=1088090,serialenc_1cb,27.748,27.939,13.982,0.0060,0.0043,0.0086,0.0121,27.585,27.585,0.000000
alu/alu,tg=2 iters=1088090,two_cb,13.979,27.939,13.982,0.4997,0.4732,0.5110,1.0002,27.586,13.799,0.499797
alu/alu,tg=2 iters=1088090,two_queue,13.986,27.939,13.982,0.5001,0.4985,0.5079,1.0014,27.586,13.798,0.499810
alu/alu,tg=2 iters=1088090,two_cb_serial,27.959,27.939,13.982,-0.0001,-0.0268,0.0187,-0.0002,27.586,27.586,0.000000
alu/alu,tg=5 iters=1398660,a_only,17.917,35.898,17.994,0.5001,0.4968,0.5012,1.0002,17.729,17.729,0.000000
alu/alu,tg=5 iters=1398660,b_only,17.914,35.898,17.994,0.4999,0.4988,0.5032,1.0000,17.730,17.730,0.000000
alu/alu,tg=5 iters=1398660,concurrent_1cb,17.943,35.898,17.994,0.4986,0.4820,0.5138,0.9972,17.769,17.769,0.000000
alu/alu,tg=5 iters=1398660,barrier_1cb,36.467,35.898,17.994,-0.0131,-0.0240,0.0022,-0.0263,36.295,36.295,0.000000
alu/alu,tg=5 iters=1398660,raw_1cb,35.655,35.898,17.994,0.0037,-0.0216,0.0113,0.0075,35.464,35.464,0.000000
alu/alu,tg=5 iters=1398660,serialenc_1cb,35.982,35.898,17.994,0.0020,-0.0134,0.0080,0.0041,35.804,35.804,0.000000
alu/alu,tg=5 iters=1398660,two_cb,17.922,35.898,17.994,0.5000,0.4850,0.5034,1.0002,35.465,17.756,0.499329
alu/alu,tg=5 iters=1398660,two_queue,17.982,35.898,17.994,0.4982,0.4885,0.5019,1.0021,35.552,17.780,0.499891
alu/alu,tg=5 iters=1398660,two_cb_serial,36.283,35.898,17.994,-0.0009,-0.0287,0.0026,-0.0018,35.895,35.895,0.000000
alu/alu,tg=10 iters=1564051,a_only,20.402,41.066,21.030,0.4994,0.4872,0.5078,1.0000,20.219,20.219,0.000000
alu/alu,tg=10 iters=1564051,b_only,20.013,41.066,21.030,0.5006,0.4922,0.5128,1.0023,19.826,19.826,0.000000
alu/alu,tg=10 iters=1564051,concurrent_1cb,20.512,41.066,21.030,0.4957,0.4925,0.5105,1.0048,20.324,20.324,0.000000
alu/alu,tg=10 iters=1564051,barrier_1cb,41.278,41.066,21.030,0.0007,-0.0389,0.0381,0.0014,41.105,41.105,0.000000
alu/alu,tg=10 iters=1564051,raw_1cb,40.130,41.066,21.030,0.0191,-0.0073,0.0349,0.0388,39.973,39.973,0.000000
alu/alu,tg=10 iters=1564051,serialenc_1cb,40.724,41.066,21.030,0.0095,-0.0184,0.0148,0.0193,40.570,40.570,0.000000
alu/alu,tg=10 iters=1564051,two_cb,20.570,41.066,21.030,0.4985,0.4818,0.5134,1.0021,40.797,20.402,0.499912
alu/alu,tg=10 iters=1564051,two_queue,20.285,41.066,21.030,0.5002,0.4820,0.5127,1.0071,39.973,20.146,0.496010
alu/alu,tg=10 iters=1564051,two_cb_serial,41.040,41.066,21.030,0.0009,-0.0352,0.0274,0.0018,40.685,40.685,0.000000
alu/alu,tg=20 iters=1520646,a_only,19.465,39.966,20.216,0.4999,0.4945,0.5099,1.0000,19.277,19.277,0.000000
alu/alu,tg=20 iters=1520646,b_only,20.127,39.966,20.216,0.5001,0.4901,0.5055,1.0006,19.990,19.990,0.000000
alu/alu,tg=20 iters=1520646,concurrent_1cb,39.400,39.966,20.216,0.0096,-0.0025,0.0301,0.0192,39.213,39.213,0.000000
alu/alu,tg=20 iters=1520646,barrier_1cb,39.852,39.966,20.216,0.0067,-0.0400,0.0326,0.0136,39.668,39.668,0.000000
alu/alu,tg=20 iters=1520646,raw_1cb,40.085,39.966,20.216,-0.0046,-0.0482,0.0267,-0.0094,39.906,39.906,0.000000
alu/alu,tg=20 iters=1520646,serialenc_1cb,39.493,39.966,20.216,0.0034,-0.0090,0.0411,0.0070,39.315,39.315,0.000000
alu/alu,tg=20 iters=1520646,two_cb,39.474,39.966,20.216,0.0094,-0.0006,0.0492,0.0187,59.730,39.298,0.342076
alu/alu,tg=20 iters=1520646,two_queue,39.643,39.966,20.216,0.0298,-0.0022,0.2266,0.0602,59.748,39.467,0.339444
alu/alu,tg=20 iters=1520646,two_cb_serial,39.396,39.966,20.216,0.0164,-0.0195,0.0291,0.0333,39.029,39.029,0.000000
alu/alu,tg=40 iters=793926,a_only,20.292,40.542,20.295,0.4996,0.4955,0.5037,1.0000,20.118,20.118,0.000000
alu/alu,tg=40 iters=793926,b_only,20.273,40.542,20.295,0.5004,0.4963,0.5045,1.0016,20.110,20.110,0.000000
alu/alu,tg=40 iters=793926,concurrent_1cb,31.403,40.542,20.295,0.2300,0.2171,0.2379,0.4624,31.260,31.260,0.000000
alu/alu,tg=40 iters=793926,barrier_1cb,39.972,40.542,20.295,0.0071,-0.0067,0.0398,0.0143,39.790,39.790,0.000000
