gate,polarity,declarations,symbols,n_read_sites,overall_class,site,site_class,reason
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2CompiledDecodeTests.swift:446,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2CompiledDecodeTests.swift:482,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2CompiledDecodeTests.swift:518,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2CompiledDecodeTests.swift:534,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2CompiledDecodeTests.swift:592,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedBenchmarkTests.swift:19,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:22,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:22,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:32,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:32,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:42,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:42,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:52,LIVE,no default-ON gate dominates this site
DARKBLOOM_CBV2_PAGED_PROFILE,default-OFF,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:20,enabled,62,LIVE,Vendor/mlx-swift-lm/Tests/MLXLMTests/CBv2PagedProfileTests.swift:52,LIVE,no default-ON gate dominates this site
DARKBLOOM_COMPILED_TIERED_ATTENTION,default-ON,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/CompiledDecode.swift:8,tieredCompiledAttentionEnabled,1,LIVE,Vendor/mlx-swift-lm/Libraries/MLXLMCommon/CompiledDecode.swift:143,LIVE,no default-ON gate dominates this site
DARKBLOOM_DECODE_NVFP4_QKV_R1,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4808,lagunaDecodeNVFP4QKVR1Enabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:5007,LIVE,no default-ON gate dominates this site
DARKBLOOM_DECODE_ROUTER_TOURNAMENT,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:9532,lagunaDecodeRouterTournamentEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:9602,LIVE,no default-ON gate dominates this site
DARKBLOOM_E4M3_SIGN_DOMAIN,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4147,lagunaE4M3SignDomainCertified,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:4236,LIVE,no default-ON gate dominates this site
DARKBLOOM_E4M3_SIGN_DOMAIN,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:4147,lagunaE4M3SignDomainCertified,2,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:6819,LIVE,no default-ON gate dominates this site
DARKBLOOM_EXPERT_ALIGNED_GATHER,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:255,lagunaExpertAlignedGatherEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10578,LIVE,no default-ON gate dominates this site
DARKBLOOM_EXPERT_ALIGNED_GATHER,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:255,lagunaExpertAlignedGatherEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10753,LIVE,no default-ON gate dominates this site
DARKBLOOM_EXPERT_ALIGNED_GATHER,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:255,lagunaExpertAlignedGatherEnabled,3,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:10766,LIVE,no default-ON gate dominates this site
DARKBLOOM_FUSED_DENSE_DOWN_RESIDUAL,default-ON,Sources/MLXFastModel/LagunaRuntimeModel.swift:649,lagunaFusedDenseDownResidualEnabled,1,LIVE,Sources/MLXFastModel/LagunaRuntimeModel.swift:9124,LIVE,no default-ON gate dominates this site
