comparison,family,order,quartet,position,arm,mode,request_id,wall_ns,profile_ns,profile_count,eval_ns,token
empty_control,ordinary_layers,BAAB,1,0,B,empty,143,556090000,166.66666666666666,39,142935750.0,5991
empty_control,ordinary_layers,BAAB,1,1,A,off,144,547768583,0.0,0,143031916.66666666,5991
empty_control,ordinary_layers,BAAB,1,2,A,off,145,547188625,0.0,0,143377333.33333334,5991
empty_control,ordinary_layers,BAAB,1,3,B,empty,146,546493416,208.33333333333334,39,143135958.33333334,5991
empty_control,ordinary_layers,BAAB,2,0,B,empty,147,545876000,458.3333333333333,39,142580958.33333334,5991
empty_control,ordinary_layers,BAAB,2,1,A,off,148,549912541,0.0,0,142149958.33333334,5991
empty_control,ordinary_layers,BAAB,2,2,A,off,149,557677542,0.0,0,142270500.0,5991
empty_control,ordinary_layers,BAAB,2,3,B,empty,150,547049292,458.3333333333333,39,142917541.66666666,5991
empty_control,ordinary_layers,BAAB,3,0,B,empty,151,546625875,750.0,39,142170750.0,5991
empty_control,ordinary_layers,BAAB,3,1,A,off,152,561452292,0.0,0,142937583.33333334,5991
empty_control,ordinary_layers,BAAB,3,2,A,off,153,548672917,0.0,0,143433333.33333334,5991
empty_control,ordinary_layers,BAAB,3,3,B,empty,154,547014625,125.0,39,143463958.33333334,5991
empty_control,ordinary_layers,BAAB,4,0,B,empty,155,546894709,208.33333333333334,39,143196791.66666666,5991
empty_control,ordinary_layers,BAAB,4,1,A,off,156,546547583,0.0,0,143041416.66666666,5991
empty_control,ordinary_layers,BAAB,4,2,A,off,157,547755667,0.0,0,143334541.66666666,5991
empty_control,ordinary_layers,BAAB,4,3,B,empty,158,547470666,83.33333333333333,39,143450750.0,5991
empty_control,ordinary_layers,BAAB,5,0,B,empty,159,547315375,333.3333333333333,39,142934500.0,5991
empty_control,ordinary_layers,BAAB,5,1,A,off,160,546898459,0.0,0,143080958.33333334,5991
empty_control,ordinary_layers,BAAB,5,2,A,off,161,547307041,0.0,0,142729833.33333334,5991
empty_control,ordinary_layers,BAAB,5,3,B,empty,162,546599792,208.33333333333334,39,142829333.33333334,5991
empty_control,ordinary_layers,BAAB,6,0,B,empty,163,546434500,41.666666666666664,39,142857166.66666666,5991
empty_control,ordinary_layers,BAAB,6,1,A,off,164,547019625,0.0,0,143262916.66666666,5991
empty_control,ordinary_layers,BAAB,6,2,A,off,165,546304250,0.0,0,143095750.0,5991
empty_control,ordinary_layers,BAAB,6,3,B,empty,166,545984916,208.33333333333334,39,142993041.66666666,5991
empty_control,ordinary_layers,BAAB,7,0,B,empty,167,546714041,333.3333333333333,39,143368000.0,5991
empty_control,ordinary_layers,BAAB,7,1,A,off,168,551214459,0.0,0,144453375.0,5991
empty_control,ordinary_layers,BAAB,7,2,A,off,169,550932292,0.0,0,144616875.0,5991
empty_control,ordinary_layers,BAAB,7,3,B,empty,170,550807625,166.66666666666666,39,143957916.66666666,5991
empty_control,ordinary_layers,BAAB,8,0,B,empty,171,549277667,333.3333333333333,39,143164875.0,5991
empty_control,ordinary_layers,BAAB,8,1,A,off,172,547520667,0.0,0,143180666.66666666,5991
empty_control,ordinary_layers,BAAB,8,2,A,off,173,546473917,0.0,0,142653333.33333334,5991
empty_control,ordinary_layers,BAAB,8,3,B,empty,174,547652916,291.6666666666667,39,143247208.33333334,5991
empty_control,ordinary_layers,BAAB,9,0,B,empty,175,547679875,166.66666666666666,39,143076000.0,5991
empty_control,ordinary_layers,BAAB,9,1,A,off,176,546922542,0.0,0,143319833.33333334,5991
empty_control,ordinary_layers,BAAB,9,2,A,off,177,548001458,0.0,0,143510083.33333334,5991
empty_control,ordinary_layers,BAAB,9,3,B,empty,178,547319958,375.0,39,143345541.66666666,5991
empty_control,ordinary_layers,BAAB,10,0,B,empty,179,547337709,125.0,39,142798083.33333334,5991
empty_control,ordinary_layers,BAAB,10,1,A,off,180,546917417,0.0,0,143285708.33333334,5991
empty_control,ordinary_layers,BAAB,10,2,A,off,181,546626584,0.0,0,142545000.0,5991
empty_control,ordinary_layers,BAAB,10,3,B,empty,182,549837375,291.6666666666667,39,142880500.0,5991
empty_control,ordinary_layers,BAAB,11,0,B,empty,183,547188084,208.33333333333334,39,143207541.66666666,5991
empty_control,ordinary_layers,BAAB,11,1,A,off,184,547381250,0.0,0,142990833.33333334,5991
empty_control,ordinary_layers,BAAB,11,2,A,off,185,546736167,0.0,0,143081416.66666666,5991
empty_control,ordinary_layers,BAAB,11,3,B,empty,186,547641625,208.33333333333334,39,143144208.33333334,5991
empty_control,ordinary_layers,BAAB,12,0,B,empty,187,546123541,416.6666666666667,39,142833083.33333334,5991
empty_control,ordinary_layers,BAAB,12,1,A,off,188,551685250,0.0,0,143553166.66666666,5991
empty_control,ordinary_layers,BAAB,12,2,A,off,189,547664375,0.0,0,143377083.33333334,5991
empty_control,ordinary_layers,BAAB,12,3,B,empty,190,546903042,41.666666666666664,39,143170166.66666666,5991
empty_control,ordinary_layers,BAAB,13,0,B,empty,191,547581125,166.66666666666666,39,143308375.0,5991
empty_control,ordinary_layers,BAAB,13,1,A,off,192,548075459,0.0,0,143221333.33333334,5991
empty_control,ordinary_layers,BAAB,13,2,A,off,193,547167500,0.0,0,143277708.33333334,5991
empty_control,ordinary_layers,BAAB,13,3,B,empty,194,547718000,125.0,39,143437375.0,5991
empty_control,ordinary_layers,BAAB,14,0,B,empty,195,548003791,208.33333333333334,39,143580333.33333334,5991
empty_control,ordinary_layers,BAAB,14,1,A,off,196,546258500,0.0,0,143347541.66666666,5991
empty_control,ordinary_layers,BAAB,14,2,A,off,197,547436583,0.0,0,143650958.33333334,5991
empty_control,ordinary_layers,BAAB,14,3,B,empty,198,547327500,250.0,39,142991250.0,5991
