name,n,min,max,distinct,rows,row_span_max,blocks,blk_span_max,row_le15,row_le31,blk_le15,blk_le31
L26.shared.gate_up,131072,1,33,31,1024,27,4096,27,0.961914,1.0,0.987305,1.0
L26.shared.down,65536,2,37,24,2048,25,2048,25,0.995605,1.0,0.995605,1.0
L27.q,1048576,0,27,28,8192,21,32768,21,0.995972,1.0,0.999023,1.0
L27.k,131072,2,28,23,1024,23,4096,22,0.982422,1.0,0.997314,1.0
L27.v,131072,3,20,18,1024,16,4096,16,0.99707,1.0,0.999512,1.0
L27.o,1048576,2,37,29,2048,30,32768,28,0.990234,1.0,0.999573,1.0
L27.routed.gate_up,33554432,2,38,36,262144,32,1048576,31,0.995651,0.999989,0.998619,1.0
L27.routed.down,16777216,2,33,29,524288,28,524288,28,0.999916,1.0,0.999916,1.0
L27.routed.packed,33554432,2,38,36,1048576,31,1048576,31,0.998619,1.0,0.998619,1.0
L27.shared.gate_up,131072,1,30,30,1024,28,4096,28,0.920898,1.0,0.975586,1.0
L27.shared.down,65536,2,37,27,2048,25,2048,25,0.994141,1.0,0.994141,1.0
L28.q,786432,0,32,30,6144,24,24576,24,0.99349,1.0,0.998698,1.0
L28.k,131072,1,24,24,1024,21,4096,21,0.989258,1.0,0.996826,1.0
L28.v,131072,3,24,22,1024,20,4096,19,0.988281,1.0,0.997314,1.0
L28.o,786432,2,34,29,2048,27,24576,22,0.987305,1.0,0.999064,1.0
L28.routed.gate_up,33554432,2,38,37,262144,32,1048576,32,0.995632,0.999992,0.998708,0.999999
L28.routed.down,16777216,2,30,27,524288,23,524288,23,0.999937,1.0,0.999937,1.0
L28.routed.packed,33554432,2,38,37,1048576,32,1048576,32,0.998708,0.999999,0.998708,0.999999
L28.shared.gate_up,131072,1,28,28,1024,26,4096,26,0.97168,1.0,0.98999,1.0
L28.shared.down,65536,2,35,25,2048,22,2048,22,0.995605,1.0,0.995605,1.0
L29.q,1048576,0,25,26,8192,20,32768,19,0.997559,1.0,0.999634,1.0
L29.k,131072,1,29,26,1024,24,4096,23,0.979492,1.0,0.995361,1.0
L29.v,131072,3,22,20,1024,18,4096,17,0.995117,1.0,0.999023,1.0
L29.o,1048576,2,34,30,2048,27,32768,26,0.977051,1.0,0.998535,1.0
L29.routed.gate_up,33554432,2,37,33,262144,30,1048576,30,0.996525,1.0,0.999076,1.0
L29.routed.down,16777216,2,33,29,524288,29,524288,29,0.999964,1.0,0.999964,1.0
L29.routed.packed,33554432,2,37,33,1048576,30,1048576,30,0.999076,1.0,0.999076,1.0
L29.shared.gate_up,131072,1,33,28,1024,29,4096,29,0.970703,1.0,0.991455,1.0
L29.shared.down,65536,2,31,29,2048,23,2048,23,0.994629,1.0,0.994629,1.0
L30.q,1048576,1,26,26,8192,21,32768,20,0.998413,1.0,0.999725,1.0
L30.k,131072,1,26,26,1024,22,4096,21,0.975586,1.0,0.995361,1.0
L30.v,131072,3,23,20,1024,19,4096,18,0.990234,1.0,0.998291,1.0
L30.o,1048576,2,38,32,2048,33,32768,25,0.992676,0.999512,0.999695,1.0
L30.routed.gate_up,33554432,2,32,31,262144,26,1048576,26,0.997917,1.0,0.999485,1.0
L30.routed.down,16777216,2,34,25,524288,27,524288,27,0.99996,1.0,0.99996,1.0
L30.routed.packed,33554432,2,32,31,1048576,26,1048576,26,0.999485,1.0,0.999485,1.0
L30.shared.gate_up,131072,1,27,25,1024,24,4096,24,0.945312,1.0,0.986328,1.0
L30.shared.down,65536,2,36,30,2048,21,2048,21,0.994629,1.0,0.994629,1.0
L31.q,1048576,1,30,29,8192,22,32768,22,0.992798,1.0,0.99884,1.0
L31.k,131072,1,26,26,1024,21,4096,20,0.976562,1.0,0.994629,1.0
L31.v,131072,3,18,15,1024,14,4096,14,1.0,1.0,1.0,1.0
L31.o,1048576,2,34,32,2048,26,32768,21,0.985352,1.0,0.999329,1.0
L31.routed.gate_up,33554432,2,34,31,262144,25,1048576,25,0.998703,1.0,0.999704,1.0
L31.routed.down,16777216,2,32,30,524288,28,524288,28,0.999943,1.0,0.999943,1.0
L31.routed.packed,33554432,2,34,31,1048576,25,1048576,25,0.999704,1.0,0.999704,1.0
L31.shared.gate_up,131072,1,37,32,1024,35,4096,34,0.916992,0.999023,0.979004,0.999756
L31.shared.down,65536,2,36,23,2048,24,2048,24,0.995605,1.0,0.995605,1.0
L32.q,786432,0,24,25,6144,18,24576,17,0.999512,1.0,0.999878,1.0
L32.k,131072,1,25,25,1024,21,4096,21,0.985352,1.0,0.997314,1.0
L32.v,131072,3,20,18,1024,16,4096,16,0.999023,1.0,0.999756,1.0
L32.o,786432,1,32,29,2048,26,24576,21,0.995117,1.0,0.999715,1.0
L32.routed.gate_up,33554432,2,30,29,262144,25,1048576,25,0.999401,1.0,0.999823,1.0
L32.routed.down,16777216,1,29,26,524288,23,524288,23,0.999958,1.0,0.999958,1.0
L32.routed.packed,33554432,2,30,29,1048576,25,1048576,25,0.999823,1.0,0.999823,1.0
L32.shared.gate_up,131072,1,33,29,1024,28,4096,28,0.945312,1.0,0.980957,1.0
L32.shared.down,65536,2,36,29,2048,27,2048,27,0.991211,1.0,0.991211,1.0
L33.q,1048576,0,29,30,8192,20,32768,19,0.995117,1.0,0.999084,1.0
L33.k,131072,1,26,24,1024,22,4096,21,0.980469,1.0,0.996094,1.0
L33.v,131072,2,19,18,1024,14,4096,14,1.0,1.0,1.0,1.0
L33.o,1048576,2,40,32,2048,34,32768,26,0.990234,0.999512,0.999817,1.0
L33.routed.gate_up,33554432,2,33,30,262144,28,1048576,27,0.999218,1.0,0.99978,1.0
L33.routed.down,16777216,1,29,28,524288,23,524288,23,0.999977,1.0,0.999977,1.0
L33.routed.packed,33554432,2,33,30,1048576,27,1048576,27,0.99978,1.0,0.99978,1.0
L33.shared.gate_up,131072,1,29,28,1024,26,4096,26,0.930664,1.0,0.978516,1.0
L33.shared.down,65536,2,36,25,2048,24,2048,24,0.997559,1.0,0.997559,1.0
L34.q,1048576,1,30,27,8192,23,32768,22,0.996094,1.0,0.999207,1.0
L34.k,131072,1,25,23,1024,21,4096,20,0.990234,1.0,0.999023,1.0
L34.v,131072,3,20,16,1024,16,4096,15,0.999023,1.0,1.0,1.0
L34.o,1048576,1,37,33,2048,31,32768,25,0.991699,1.0,0.999664,1.0
L34.routed.gate_up,33554432,2,29,28,262144,25,1048576,24,0.999306,1.0,0.999816,1.0
L34.routed.down,16777216,1,33,27,524288,28,524288,28,0.999966,1.0,0.999966,1.0
L34.routed.packed,33554432,2,29,28,1048576,24,1048576,24,0.999816,1.0,0.999816,1.0
L34.shared.gate_up,131072,1,30,29,1024,29,4096,28,0.936523,1.0,0.981445,1.0
L34.shared.down,65536,2,36,30,2048,21,2048,21,0.99707,1.0,0.99707,1.0
