stage,block,order,arm,token_index,step_us
screen,S2,BAAB,ctl,22,8170.0
screen,S2,BAAB,ctl,23,8217.0
screen,S2,BAAB,ctl,24,8201.0
screen,S2,BAAB,ctl,25,8212.0
screen,S2,BAAB,ctl,26,8197.0
screen,S2,BAAB,ctl,27,8237.0
screen,S2,BAAB,ctl,28,8228.0
screen,S2,BAAB,ctl,29,8192.0
screen,S2,BAAB,ctl,30,8239.0
screen,S2,BAAB,ns0,16,8192.0
screen,S2,BAAB,ns0,17,8200.0
screen,S2,BAAB,ns0,18,8187.0
screen,S2,BAAB,ns0,19,8203.0
screen,S2,BAAB,ns0,20,8186.0
screen,S2,BAAB,ns0,21,8172.0
screen,S2,BAAB,ns0,22,8230.0
screen,S2,BAAB,ns0,23,8245.0
screen,S2,BAAB,ns0,24,8233.0
screen,S2,BAAB,ns0,25,8314.0
screen,S2,BAAB,ns0,26,8225.0
screen,S2,BAAB,ns0,27,8242.0
screen,S2,BAAB,ns0,28,8195.0
screen,S2,BAAB,ns0,29,8476.0
screen,S2,BAAB,ns0,30,8196.0
screen,S2,BAAB,ns2,16,8178.0
screen,S2,BAAB,ns2,17,8182.0
screen,S2,BAAB,ns2,18,8185.0
screen,S2,BAAB,ns2,19,8198.0
screen,S2,BAAB,ns2,20,8212.0
screen,S2,BAAB,ns2,21,8220.0
screen,S2,BAAB,ns2,22,8247.0
screen,S2,BAAB,ns2,23,8225.0
screen,S2,BAAB,ns2,24,8256.0
screen,S2,BAAB,ns2,25,8249.0
screen,S2,BAAB,ns2,26,8247.0
screen,S2,BAAB,ns2,27,8327.0
screen,S2,BAAB,ns2,28,8237.0
screen,S2,BAAB,ns2,29,8172.0
screen,S2,BAAB,ns2,30,8208.0
screen,S2,BAAB,qmvsc0,16,8279.0
screen,S2,BAAB,qmvsc0,17,8151.0
screen,S2,BAAB,qmvsc0,18,8168.0
screen,S2,BAAB,qmvsc0,19,8186.0
screen,S2,BAAB,qmvsc0,20,8155.0
screen,S2,BAAB,qmvsc0,21,8139.0
screen,S2,BAAB,qmvsc0,22,8151.0
screen,S2,BAAB,qmvsc0,23,8154.0
screen,S2,BAAB,qmvsc0,24,8177.0
screen,S2,BAAB,qmvsc0,25,8300.0
screen,S2,BAAB,qmvsc0,26,8254.0
screen,S2,BAAB,qmvsc0,27,8284.0
screen,S2,BAAB,qmvsc0,28,8174.0
screen,S2,BAAB,qmvsc0,29,8480.0
screen,S2,BAAB,qmvsc0,30,8387.0
screen,S2,BAAB,qmvse0,16,8240.0
screen,S2,BAAB,qmvse0,17,8207.0
screen,S2,BAAB,qmvse0,18,8140.0
screen,S2,BAAB,qmvse0,19,8177.0
screen,S2,BAAB,qmvse0,20,8164.0
screen,S2,BAAB,qmvse0,21,8223.0
screen,S2,BAAB,qmvse0,22,8184.0
screen,S2,BAAB,qmvse0,23,8174.0
screen,S2,BAAB,qmvse0,24,8164.0
screen,S2,BAAB,qmvse0,25,8197.0
screen,S2,BAAB,qmvse0,26,8198.0
screen,S2,BAAB,qmvse0,27,8231.0
screen,S2,BAAB,qmvse0,28,8205.0
screen,S2,BAAB,qmvse0,29,8264.0
screen,S2,BAAB,qmvse0,30,8246.0
screen,S2,BAAB,qse0,16,8262.0
screen,S2,BAAB,qse0,17,8227.0
screen,S2,BAAB,qse0,18,8233.0
screen,S2,BAAB,qse0,19,8204.0
screen,S2,BAAB,qse0,20,8155.0
screen,S2,BAAB,qse0,21,8150.0
screen,S2,BAAB,qse0,22,8186.0
screen,S2,BAAB,qse0,23,8186.0
screen,S2,BAAB,qse0,24,8162.0
screen,S2,BAAB,qse0,25,8162.0
screen,S2,BAAB,qse0,26,8193.0
screen,S2,BAAB,qse0,27,8227.0
screen,S2,BAAB,qse0,28,8189.0
screen,S2,BAAB,qse0,29,8217.0
screen,S2,BAAB,qse0,30,8257.0
screen,S2,BAAB,sc0,16,8164.0
screen,S2,BAAB,sc0,17,8157.0
screen,S2,BAAB,sc0,18,8157.0
screen,S2,BAAB,sc0,19,8135.0
screen,S2,BAAB,sc0,20,8192.0
